ticker,pe_trailing,pe_forward,pb,ev_ebitda,ps,roe,roa,net_margin,operating_margin,gross_margin,debt_to_equity,current_ratio,quick_ratio,revenue_growth,earnings_growth,earnings_growth_q,market_cap,enterprise_value,book_value,dividend_yield,payout_ratio,beta_reported,sector,industry,last_earnings_date,snapshot_date
ASTERDM,109.9131,44.16742,9.258967,48.299,15.434237,0.10067,0.05408,0.08359,0.13984,0.58555,45.921,1.989,1.669,0.182,0.715,0.774,716645531648.0,435186597888.0,88.795,0.49,0.5319,-0.037,Healthcare,Medical Care Facilities,,2026-08-01
ASTRAL,71.32447,43.350983,9.588551,35.989,5.924651,0.13798,0.088599995,0.08169,0.14791,0.39848998,6.168,1.762,0.947,0.242,0.189,0.188,389166628864.0,382163320832.0,151.076,0.26,0.1878,0.158,Industrials,Building Products & Equipment,2026-05-18,2026-08-01
ATHERENERG,,-377.2563,18.746655,-90.848,13.528012,-0.33740002,-0.10785,-0.14085001,-0.109589994,0.21084,25.819,2.419,1.855,0.737,,,496716152832.0,464034988032.0,67.228,,0.0,,Consumer Cyclical,Auto Manufacturers,,2026-08-01
ATUL,24.937992,21.944681,3.1876504,15.318,2.9853945,,,0.119729996,0.1707,0.35047,2.907,,,0.25,0.92,0.92,198334382080.0,183511187456.0,2113.312,0.45,0.0925,0.197,Basic Materials,Specialty Chemicals,2026-07-24,2026-08-01
AUROPHARMA,26.175253,17.488062,2.422453,13.016,2.7017205,0.09932999,0.05861,0.10414,0.14936,0.59919,21.31,1.813,0.982,0.056,0.019,0.02,909212188672.0,892362424320.0,652.314,0.25,0.066300005,0.022,Healthcare,Drug Manufacturers - Specialty & Generic,2026-08-05,2026-08-01
AIIL,28.14718,,2.8414419,,17.906918,,,0.82054,0.92406,0.9786,24.59,,,0.141,0.175,0.178,457987293184.0,490752245760.0,189.798,0.04,0.0,-0.745,Financial Services,Capital Markets,,2026-08-01
DMART,83.63908,56.69542,10.429689,47.456,3.589132,,,0.042919997,0.06447,0.15192,9.913,,,0.149,0.114,0.113,2557456416768.0,2577578065920.0,375.946,,0.0,0.192,Consumer Defensive,Discount Stores,2026-07-11,2026-08-01
AXISBANK,13.831702,9.719368,1.7134767,,4.9628377,0.13352999,0.01535,0.36031,0.49181998,0.0,,,,0.14,0.218,0.222,3825422565376.0,5327342796800.0,717.547,0.08,0.0,0.422,Financial Services,Banks - Regional,,2026-08-01
BEML,103.08599,24.65352,4.9692545,49.669,3.3510647,0.04858,0.02091,0.03249,0.13881,0.47625,10.568,2.014,1.067,0.086,-0.375,-0.375,145789075456.0,148510097408.0,352.246,0.74,0.6246,0.672,Industrials,Conglomerates,,2026-08-01
BLS,14.387019,11.134884,3.999599,11.102,3.2859025,0.30143,0.13786,0.22904,0.21951,0.38387,15.468,2.914,2.681,0.176,0.314,0.316,98518425600.0,90910744576.0,59.856,1.26,0.18030001,-0.247,Industrials,Specialty Business Services,,2026-08-01
BSE,60.608376,37.64561,18.778486,35.006,29.023306,0.36003,0.20798,0.48729,0.6757,0.99543,0.0,1.53,1.173,1.051,0.64,0.629,1487226798080.0,1433418203136.0,194.169,0.27,0.0995,0.278,Financial Services,Financial Data & Stock Exchanges,,2026-08-01
BAJAJ-AUTO,27.38412,24.385794,8.292019,20.1,4.3714695,,,0.16251,0.21514,0.34187,56.352,,,0.64,0.458,0.459,3163272773632.0,3352457641984.0,1389.348,1.31,0.3566,0.689,Consumer Cyclical,Auto Manufacturers,2026-07-21,2026-08-01
BAJFINANCE,35.09225,22.68481,6.224467,,15.208426,,,0.43495,0.61552,0.91551,314.833,,,0.261,0.272,0.274,7099305689088.0,10761386590208.0,183.341,0.47,0.1658,0.353,Financial Services,Credit Services,2026-07-30,2026-08-01
